bench,cfg,trials,exec_time,sterror,error_pct
conv-simo,e1-o0,5,104,1.0,0.01
conv-siso,e1-o0,5,37.2,0.2,0.01
distance,e1-o0,5,373.4,1.12,0.0
matmul-2,e1-o0,5,42.2,0.2,0.0
retrieval-1024,e1-o0,5,1920.2,0.97,0.0
retrieval-256,e1-o0,5,696.8,0.92,0.0
set-union-16,e1-o0,5,1016,1.14,0.0

