bench,cfg,trials,scheduling,scheduling_sterror,scheduling_error_pct,optimization,optimization_sterror,optimization_error_pct,total,total_sterror,total_error_pct
conv-simo,e1-o0,5,9425.2,328.33,0.03,0,0,0,9427,328.42,0.03
conv-siso,e1-o0,5,1268.8,1.62,0.0,0,0,0,1270.4,1.5,0.0
distance,e1-o0,5,40.4,0.6,0.01,0,0,0,43.8,0.49,0.01
matmul-2,e1-o0,5,646.4,7.33,0.01,0,0,0,647.8,7.52,0.01
retrieval-1024,e1-o0,5,556.6,3.19,0.01,0,0,0,558,2.98,0.01
retrieval-256,e1-o0,5,48.6,0.51,0.01,0,0,0,50,0.55,0.01
set-union-16,e1-o0,5,62.6,0.93,0.01,0,0,0,64.4,1.03,0.02

